Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2013_31-12-2013,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013
Renovable,"10308,8670155","10036,405324","11444,206144","11269,745362500002","9563,0300315","9037,9679475","7761,51735","7573,3146005","6715,856032","7196,317752","10391,3498695","8459,080214500002"
No renovable,"14488,7768555","12803,546494","12339,782271","10592,9629615","11604,5366135","12010,1454285","16579,043442","15203,726544500001","15248,268344","14781,559223999999","12426,6431305","15449,593977499999"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2013 - 31/12/2013,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 15:02:19,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
