Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2016_31-12-2016,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016
Renovable,"9828,5444965","11092,3260115","11231,337806","11066,519303500001","10657,384874","8324,240595","7927,953427","7804,022389000001","6114,074368","5271,8756865","6352,0508705","5418,839357"
No renovable,"12854,409826500001","10574,0831885","11813,717098","10660,7408515","9949,104228","12293,814233","14939,493462999999","14229,525732","15050,360505999999","16484,0256915","15413,3107655","16483,936733"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2016 - 31/12/2016,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 15:01:34,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
