Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2021_31-12-2021,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021
Renovable,"12561,066857000002","12359,937817","11799,986558","9240,646799","10433,361657","9287,872546499999","10377,7894405","9182,780587500001","7472,1184275000005","7991,904017","9657,3198605","11094,3617425"
No renovable,"11744,408093","8774,451967","10297,202828","10659,717630000001","10038,119418","10575,9194245","12058,9791675","12402,4552265","13216,749793500001","12642,737893","13360,3785605","12780,9191355"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2021 - 31/12/2021,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 15:00:15,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
