Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2015_31-12-2015,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
Renovable,"8571,0944065","10541,896157","10228,6801755","7995,0760745","9767,2497605","7386,2828295","7380,892277","6760,317499","6213,939694","6668,3680564999995","6756,277934000001","5818,0380935"
No renovable,"16020,8881835","12641,704576","12969,4395415","12620,8904945","11447,6046435","14350,7723235","17917,72645","16114,977653000002","15049,749387","14229,0753105","14191,958001","15810,9496365"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2015 - 31/12/2015,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 15:01:50,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
