Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2023_31-12-2023,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
Renovable,"13541,966835000001","9899,8679255","12623,128455","11168,685127","11600,013321","9787,238249","10890,1255725","10828,217027499999","8648,920129","10404,9825535","12854,069406999999","12073,799615"
No renovable,"10316,041525","11842,3119665","11363,922767999999","10294,879431","9912,367285","11496,792792999999","12757,7127745","12701,768216499999","12109,089136","10476,0484135","8725,894785","10488,940436"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 28/02/2023,,,,,,,,,,,
 ,Provisional: 01/03/2023 - 31/12/2023,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 11:56:52,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
